INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 73/5000 | Policy Loss: 0.1998 | Value Loss: 0.0966
INFO:root:Epoch 74/5000 | Policy Loss: -0.0968 | Value Loss: 0.1995
INFO:root:Epoch 75/5000 | Policy Loss: 0.2150 | Value Loss: 0.0770
INFO:root:Epoch 76/5000 | Policy Loss: -0.2564 | Value Loss: 0.1969
INFO:root:Epoch 77/5000 | Policy Loss: -0.4773 | Value Loss: 0.5683
INFO:root:Epoch 78/5000 | Policy Loss: 0.3504 | Value Loss: 0.0957
INFO:root:Epoch 79/5000 | Policy Loss: 0.0621 | Value Loss: 0.0995
INFO:root:Epoch 80/5000 | Policy Loss: 0.2966 | Value Loss: 0.1086
INFO:root:Epoch 80 evaluation score: -0.07
INFO:root:Epoch 81/5000 | Policy Loss: 0.0195 | Value Loss: 0.0933
INFO:root:Epoch 82/5000 | Policy Loss: -0.2990 | Value Loss: 0.3328
INFO:root:Epoch 83/5000 | Policy Loss: 0.0500 | Value Loss: 0.0756
INFO:root:Epoch 84/5000 | Policy Loss: 0.2966 | Value Loss: 0.0590
INFO:root:Epoch 85/5000 | Policy Loss: 0.1848 | Value Loss: 0.0354
INFO:root:Epoch 86/5000 | Policy Loss: -0.0038 | Value Loss: 0.0368
INFO:root:Epoch 87/5000 | Policy Loss: -0.4377 | Value Loss: 0.2604
INFO:root:Epoch 88/5000 | Policy Loss: -0.1522 | Value Loss: 0.0307
INFO:root:Epoch 89/5000 | Policy Loss: 0.1436 | Value Loss: 0.0742
INFO:root:Epoch 90/5000 | Policy Loss: -0.4994 | Value Loss: 1.2776
INFO:root:Epoch 91/5000 | Policy Loss: -0.4084 | Value Loss: 0.1612
INFO:root:Epoch 92/5000 | Policy Loss: -0.6274 | Value Loss: 0.4000
INFO:root:Epoch 93/5000 | Policy Loss: -0.0915 | Value Loss: 0.1142
INFO:root:Epoch 94/5000 | Policy Loss: 0.0731 | Value Loss: 0.0625
INFO:root:Epoch 95/5000 | Policy Loss: -0.3317 | Value Loss: 0.1104
INFO:root:Epoch 96/5000 | Policy Loss: -0.2055 | Value Loss: 0.8580
INFO:root:Epoch 97/5000 | Policy Loss: 0.1796 | Value Loss: 0.1392
INFO:root:Epoch 98/5000 | Policy Loss: 0.2047 | Value Loss: 0.0591
INFO:root:Epoch 99/5000 | Policy Loss: -0.6120 | Value Loss: 0.3131
INFO:root:Epoch 100/5000 | Policy Loss: 0.0866 | Value Loss: 0.1182
INFO:root:Epoch 100 evaluation score: 0.46
INFO:root:Epoch 101/5000 | Policy Loss: 0.0168 | Value Loss: 0.4648
INFO:root:Epoch 102/5000 | Policy Loss: 0.2947 | Value Loss: 0.1246
INFO:root:Epoch 103/5000 | Policy Loss: 0.1173 | Value Loss: 0.0527
INFO:root:Epoch 104/5000 | Policy Loss: -0.4059 | Value Loss: 0.6940
INFO:root:Epoch 105/5000 | Policy Loss: -0.1441 | Value Loss: 0.1304
INFO:root:Epoch 106/5000 | Policy Loss: 0.2307 | Value Loss: 0.0511
INFO:root:Epoch 107/5000 | Policy Loss: 0.1714 | Value Loss: 0.0509
INFO:root:Epoch 108/5000 | Policy Loss: -0.2395 | Value Loss: 0.1263
INFO:root:Epoch 109/5000 | Policy Loss: 0.3790 | Value Loss: 0.0597
INFO:root:Epoch 110/5000 | Policy Loss: -0.0556 | Value Loss: 0.5773
INFO:root:Epoch 111/5000 | Policy Loss: -0.1757 | Value Loss: 0.4691
INFO:root:Epoch 112/5000 | Policy Loss: -0.0261 | Value Loss: 0.2491
INFO:root:Epoch 113/5000 | Policy Loss: -0.0296 | Value Loss: 0.1056
INFO:root:Epoch 114/5000 | Policy Loss: -0.0720 | Value Loss: 0.0586
INFO:root:Epoch 115/5000 | Policy Loss: 0.2454 | Value Loss: 0.0421
INFO:root:Epoch 116/5000 | Policy Loss: -0.7439 | Value Loss: 0.1789
INFO:root:Epoch 117/5000 | Policy Loss: -0.2466 | Value Loss: 0.1233
INFO:root:Epoch 118/5000 | Policy Loss: 0.2855 | Value Loss: 0.0501
INFO:root:Epoch 119/5000 | Policy Loss: 0.3903 | Value Loss: 0.0308
INFO:root:Epoch 120/5000 | Policy Loss: -0.2040 | Value Loss: 0.0819
INFO:root:Epoch 120 evaluation score: -0.13
INFO:root:Epoch 121/5000 | Policy Loss: -0.2459 | Value Loss: 0.0502
INFO:root:Epoch 122/5000 | Policy Loss: -0.2312 | Value Loss: 0.0799
INFO:root:Epoch 123/5000 | Policy Loss: 0.1821 | Value Loss: 0.0214
INFO:root:Epoch 124/5000 | Policy Loss: -0.7729 | Value Loss: 0.2900
INFO:root:Epoch 125/5000 | Policy Loss: 0.3630 | Value Loss: 0.0837
INFO:root:Epoch 126/5000 | Policy Loss: -0.2294 | Value Loss: 0.0740
INFO:root:Epoch 127/5000 | Policy Loss: -0.3099 | Value Loss: 0.2882
INFO:root:Epoch 128/5000 | Policy Loss: 0.2210 | Value Loss: 0.0418
INFO:root:Epoch 129/5000 | Policy Loss: -0.6284 | Value Loss: 0.0840
INFO:root:Epoch 130/5000 | Policy Loss: -0.2635 | Value Loss: 0.0559
INFO:root:Epoch 131/5000 | Policy Loss: -0.5984 | Value Loss: 0.0734
INFO:root:Epoch 132/5000 | Policy Loss: -0.2627 | Value Loss: 0.0829
INFO:root:Epoch 133/5000 | Policy Loss: -0.1025 | Value Loss: 0.0549
INFO:root:Epoch 134/5000 | Policy Loss: -0.1861 | Value Loss: 0.0425
INFO:root:Epoch 135/5000 | Policy Loss: -0.0103 | Value Loss: 0.1653
INFO:root:Epoch 136/5000 | Policy Loss: -0.1816 | Value Loss: 0.3048
INFO:root:Epoch 137/5000 | Policy Loss: -0.3473 | Value Loss: 0.4492
INFO:root:Epoch 138/5000 | Policy Loss: -0.2683 | Value Loss: 0.0550
INFO:root:Epoch 139/5000 | Policy Loss: 0.2322 | Value Loss: 0.0838
INFO:root:Epoch 140/5000 | Policy Loss: 0.2256 | Value Loss: 0.0219
INFO:root:Epoch 140 evaluation score: 0.64
INFO:root:Epoch 141/5000 | Policy Loss: -0.7250 | Value Loss: 0.5878
INFO:root:Epoch 142/5000 | Policy Loss: 0.2012 | Value Loss: 0.0957
INFO:root:Epoch 143/5000 | Policy Loss: -0.2710 | Value Loss: 0.1253
INFO:root:Epoch 144/5000 | Policy Loss: 0.1527 | Value Loss: 0.0359
INFO:root:Epoch 145/5000 | Policy Loss: 0.2116 | Value Loss: 0.0279
INFO:root:Epoch 146/5000 | Policy Loss: 0.2654 | Value Loss: 0.0424
INFO:root:Epoch 147/5000 | Policy Loss: -0.1580 | Value Loss: 0.1460
INFO:root:Epoch 148/5000 | Policy Loss: -0.3902 | Value Loss: 0.0556
INFO:root:Epoch 149/5000 | Policy Loss: 0.1354 | Value Loss: 0.3081
INFO:root:Epoch 150/5000 | Policy Loss: 0.1405 | Value Loss: 0.0384
INFO:root:Epoch 151/5000 | Policy Loss: -0.1866 | Value Loss: 0.1426
INFO:root:Epoch 152/5000 | Policy Loss: -0.0849 | Value Loss: 0.0831
INFO:root:Epoch 153/5000 | Policy Loss: -0.0785 | Value Loss: 0.0537
INFO:root:Epoch 154/5000 | Policy Loss: 0.1993 | Value Loss: 0.0316
INFO:root:Epoch 155/5000 | Policy Loss: -0.0076 | Value Loss: 0.0614
INFO:root:Epoch 156/5000 | Policy Loss: 0.0111 | Value Loss: 0.0291
INFO:root:Epoch 157/5000 | Policy Loss: 0.3297 | Value Loss: 0.0299
INFO:root:Epoch 158/5000 | Policy Loss: -0.2176 | Value Loss: 0.0450
INFO:root:Epoch 159/5000 | Policy Loss: 0.2106 | Value Loss: 0.0301
INFO:root:Epoch 160/5000 | Policy Loss: 0.0613 | Value Loss: 0.0233
INFO:root:Epoch 160 evaluation score: 0.80
INFO:root:Epoch 161/5000 | Policy Loss: -0.2894 | Value Loss: 0.1500
INFO:root:Epoch 162/5000 | Policy Loss: 0.0518 | Value Loss: 0.0572
INFO:root:Epoch 163/5000 | Policy Loss: -0.3529 | Value Loss: 0.1466
INFO:root:Epoch 164/5000 | Policy Loss: 0.2927 | Value Loss: 0.0373
INFO:root:Epoch 165/5000 | Policy Loss: 0.1611 | Value Loss: 0.0151
INFO:root:Epoch 166/5000 | Policy Loss: 0.0818 | Value Loss: 0.0127
INFO:root:Epoch 167/5000 | Policy Loss: 0.0783 | Value Loss: 0.0250
INFO:root:Epoch 168/5000 | Policy Loss: -0.1870 | Value Loss: 0.0818
INFO:root:Epoch 169/5000 | Policy Loss: 0.2158 | Value Loss: 0.0321
INFO:root:Epoch 170/5000 | Policy Loss: 0.3310 | Value Loss: 0.0167
INFO:root:Epoch 171/5000 | Policy Loss: 0.2826 | Value Loss: 0.0194
INFO:root:Epoch 172/5000 | Policy Loss: -0.2151 | Value Loss: 0.1170
INFO:root:Epoch 173/5000 | Policy Loss: -0.3579 | Value Loss: 0.0397
INFO:root:Epoch 174/5000 | Policy Loss: -0.7870 | Value Loss: 0.4922
INFO:root:Epoch 175/5000 | Policy Loss: 0.2447 | Value Loss: 0.0444
INFO:root:Epoch 176/5000 | Policy Loss: 0.0432 | Value Loss: 0.1991
INFO:root:Epoch 177/5000 | Policy Loss: -0.1192 | Value Loss: 0.0345
INFO:root:Epoch 178/5000 | Policy Loss: 0.0427 | Value Loss: 0.0407
INFO:root:Epoch 179/5000 | Policy Loss: -0.2143 | Value Loss: 0.0482
INFO:root:Epoch 180/5000 | Policy Loss: -0.1449 | Value Loss: 0.0423
INFO:root:Epoch 180 evaluation score: 0.41
